Rk,name,code,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV_G,PP_G,SH_G,GW_G,EV_A,PP_A,SH_A,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,W,L,OL,TM_PTS,DIV,PLAYOFF,ppg%,ppa%,pkg%,pka%,Color
91,Guillaume Brisebois,brisegu01,21,VAN,D,8,0,0,0,-4,0,-0.2,0,0,0,0,0,0,0,5,0,88,11:01:00,7,3,0,0,NA,35,36,11,81,PAC,n,NaN,NaN,NaN,NaN,#00843D
92,T.J. Brodie,broditj01,28,CGY,D,79,9,25,34,29,24,7,7,1,1,1,22,3,0,102,8.8,1696,21:28:00,86,21,0,1,0,50,25,7,107,PAC,y,0.111111111,0.12,0.111111111,0,#C8102E
93,Jonas Brodin,brodijo01,25,MIN,D,82,4,14,18,-15,30,3.7,3,0,1,2,13,1,0,111,3.6,1685,20:33:00,135,61,0,0,NA,37,36,9,83,CEN,n,0,0.071428571,0.25,0,#154734
94,Kyle Brodziak,brodzky01,34,EDM,C,70,6,3,9,-14,33,-0.4,5,0,1,2,3,0,0,74,8.1,818,11:42:00,46,92,399,368,52,35,38,9,79,PAC,n,0,0,0.166666667,0,#041E42
95,Jonny Brodzinski,brodzjo01,25,LAK,C,13,2,1,3,0,2,0.3,2,0,0,0,1,0,0,17,11.8,129,9:55:00,7,23,1,1,50,31,42,9,71,PAC,n,0,0,0,0,#111111
96,Troy Brouwer,brouwtr01,33,FLA,RW,75,12,9,21,-6,47,1.5,11,0,1,1,9,0,0,86,14,952,12:41:00,38,177,19,32,37.3,36,32,14,86,ATL,n,0,0,0.083333333,0,#B9975B
97,Connor Brown,brownco02,25,TOR,RW,82,8,21,29,11,16,2,8,0,0,0,17,1,3,85,9.4,1131,13:48:00,37,35,20,31,39.2,46,28,8,100,ATL,y,0,0.047619048,0,0.142857143,#00205B
98,Dustin Brown,browndu01,34,LAK,RW,72,22,29,51,-17,24,4.7,12,9,1,3,25,3,1,180,12.2,1469,20:24:00,29,150,1,16,5.9,31,42,9,71,PAC,n,0.409090909,0.103448276,0.045454545,0.034482759,#111111
99,J.T. Brown,brownjt01,28,MIN,RW,56,3,5,8,0,29,0.4,3,0,0,0,5,0,0,56,5.4,514,9:10:00,16,99,5,13,27.8,37,36,9,83,CEN,n,0,0,0,0,#154734
100,Josh Brown,brownjo01,25,FLA,D,37,1,1,2,-3,28,0.5,1,0,0,0,1,0,0,28,3.6,492,13:18:00,31,80,0,0,NA,36,32,14,86,ATL,n,0,0,0,0,#B9975B
101,Logan Brown,brownlo01,20,OTT,C,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0,21,10:31:00,1,0,2,6,25,29,47,6,64,ATL,n,NaN,NaN,NaN,NaN,#C2912C
102,Pavel Buchnevich,buchnpa01,23,NYR,LW,64,21,17,38,-10,13,4,14,7,0,1,12,5,0,119,17.6,971,15:10:00,20,60,7,18,28,32,36,14,78,MET,n,0.333333333,0.294117647,0,0,#0038A8
103,Michael Bunting,buntimi01,23,ARI,LW,5,1,0,1,0,2,0.1,1,0,0,0,0,0,0,5,20,48,9:33:00,1,6,0,0,NA,39,35,8,86,PAC,n,0,NaN,0,NaN,#8C2633
